;;;;;;
;Date;Time;Location;Details;Facilitators;
;14.3.2026;11 AM - 6 PM;🌷 Floor 14: Inner Corner;Shiftwave Sessions + Walk VR;"Alan
Ben Simon-Thomas";
;14.3.2026;11 AM - 6 PM;🌷 Floor 14: Inner Child Room;Immersive Theater Sense-Making;"Prof Asterix
Charley
Tiat";
;14.3.2026;[ Signup Sheet ];🌷 Floor 14: Healing Room;Body Work;Patience Anaya;
;14.3.2026;11:30 AM;🌷 Floor 14: Main Salon (30 mins);"Opening Context: Human Alignment Before AI Alignment — Building the Commons for Inner Wisdom & Outer Systems Change to Expand Existential Hope

As AI accelerates, we are entering a rare window for civilizational redesign. Technological disruption brings not only risk, but the opportunity to rethink how we work, govern, and care for one another.";"Mingzu Heseri
Hank Holiday
";
;14.3.2026;12:00 PM;🌷 Floor 14: Main Salon (25 mins);"Openning Circle: Human Alignment Before AI Alignment — Building the Commons for Inner Wisdom & Outer Systems Change to Expand Existential Hope

Commons are the birthplaces of public goods. This opening panel brings together leaders in commons-building, governance, institutional design, and civic innovation to explore how real-world commons infrastructure can expand society’s capacity for experimentation, collective sense-making, and responsible innovation.";"Mingzu Heseri
Patricia Mou
Helen Tsim
Raman Fray
Melanie McDougall
Narges Baniasadi
Max Song";
;14.3.2026;12:45 PM;FOOD;IS;SERVED;
;14.3.2026;1:00 PM;🌷 Floor 14: Main Salon (45 mins);"[Capital Circle] Exit to the Commons - Funding Catalytic Communities as Public Infrsatructure for Early Innovation

Venture capital has played a central role in funding technological innovation, yet most financial returns flow in one direction — from public goods into privately captured gains. This session addresses funding catalytic communities.";"Gregory Wendt
Ferananda Ibarra
Dr. Stuart Cowan
Taj James 
Tom Khalil 
Jeff Emmett
Joshua Prieto
Peter Schurman
Oliver Clarity
Ben Life";
;14.3.2026;;🌷 Floor 14: Back Salon (45 mins);"[Future of Education & Work] Co-Design Lab: Learning and Working in Post Labor Economy

As AI transforms labor markets, we must redesign the cultural commons that sustain meaning, contribution, and belonging beyond wage labor. This co-design lab explores new products, services, and institutions that support the future of education & work. ";"James Win
Clare Hedin
Patrick Deegan
Max Song
Sara Olsen
Michael Herrera
Noah Salt";
;14.3.2026;;🌷 Floor 14: Womb Room (45 mins);"Vision Guide Workshop: Cultivating Wise Innovation from the Beginning

Interactive session on ""Vision Stage Wisdom"" to support founders in cultivating conditions for holistic vision enactment.";Andrew Dunn;
;14.3.2026;2:00 PM;🌷 Floor 14: Main Salon (20 mins);;;
;14.3.2026;;🌷 Floor 14: Back Salon (20 mins);"Flourishing Floor Movement Series

Embodiment as internal resilience; human infrastructure for resilience.";Brigitte Wittmer;
;14.3.2026;2:30 PM;🌷 Floor 14: Main Salon (45 mins);"Governance Circle: Exit to the Commons! Coordination Without Control - Governing at Network Scale

New forms of decentralized governance and coordination are needed to turn participation into meaningful decision-making and collective action—without reverting to rigid hierarchies.";"Hank Holiday
Nicole Klau
Tibet Sprague
Luc Guimberteau
Peter Schurman
Yev Muchnik
Brad DeGraf";
;14.3.2026;;🌷 Floor 14: Back Salon (45 mins);"[Relational Commons] Building the Inner Commons for Systems Adaptation

The ability of communities to sense, interpret, and respond together becomes a critical form of infrastructure. This session focuses on shared relational practices for navigating complexity.";"Megan Shabram
Nima Imani
Chelsea Borruano
James
Ankita
Helen Tsim
Christian";
